Package,LibPath,Version,Priority,Built
labeling,/usr/local/lib/R/site-library,0.3,NA,3.4.1
lazyeval,/usr/local/lib/R/site-library,0.2.0,NA,3.3.2
listviewer,/usr/local/lib/R/site-library,1.4.0,NA,3.4.1
lme4,/usr/local/lib/R/site-library,1.1-13,NA,3.4.1
lubridate,/usr/local/lib/R/site-library,1.6.0,NA,3.4.1
magrittr,/usr/local/lib/R/site-library,1.5,NA,3.3.2
markdown,/usr/local/lib/R/site-library,0.8,NA,3.4.1
MatrixModels,/usr/local/lib/R/site-library,0.4-1,NA,3.4.1
memoise,/usr/local/lib/R/site-library,1.1.0,NA,3.4.1
mime,/usr/local/lib/R/site-library,0.5,NA,3.3.2
miniUI,/usr/local/lib/R/site-library,0.1.1,NA,3.4.1
minqa,/usr/local/lib/R/site-library,1.2.4,NA,3.4.1
mnormt,/usr/local/lib/R/site-library,1.5-5,NA,3.4.1
modelr,/usr/local/lib/R/site-library,0.1.1,NA,3.4.1
munsell,/usr/local/lib/R/site-library,0.4.3,NA,3.4.1
